time,step-size,{pt}.pt.leaveLoadingA,{pt}.pt.leaveLoadingB,{pt}.pt.leaveLoadingC,{pt}.pt.leaveTestingA,{pt}.pt.leaveTestingB,{pt}.pt.leaveTestingC,{pt}.pt.p_ID,{pt}.pt.speedA,{pt}.pt.speedB,{pt}.pt.speedC,{pt}.pt.w_in1,{pt}.pt.w_in2,{pt}.pt.w_in3,{ts}.testStation.t_out,{ts}.testStation.t_status,{ts}.testStation.testResult,{w1}.wagon1.prev_wagon_speed,{w1}.wagon1.wagon_pos,{w2}.wagon2.prev_wagon_speed,{w2}.wagon2.wagon_pos,{w3}.wagon3.prev_wagon_speed,{w3}.wagon3.wagon_pos,{w}.warehouse.r_ID,{w}.warehouse.r_in1,{w}.warehouse.r_in2,{w}.warehouse.w_out
6.2,0.2,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
6.4,0.2,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
6.6000000000000005,0.2,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
6.800000000000001,0.2,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
7.0,0.1999999999999993,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
7.2,0.2,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
7.4,0.2,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
7.6000000000000005,0.2,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
7.800000000000001,0.2,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
8.0,0.1999999999999993,false,false,false,false,false,false,1,1,1,1,0,0,0,0,0,true,1,3,1,1,1,0,0,0,0,1
8.2,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
8.399999999999999,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
8.599999999999998,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
8.799999999999997,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
8.999999999999996,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
9.199999999999996,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
9.399999999999995,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
9.599999999999994,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
9.799999999999994,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
9.999999999999993,0.2,false,false,false,false,false,false,2,1,1,1,1,1,1,0,0,true,1,3,1,1,1,0,0,0,0,1
